anio,lengua,lengua_nombre,variante,cve_ent,certeza,num
1990,0516,Mixteco,mixteco de Oaxaca de la costa central,020,estimada,1118.1
1990,0516,Mixteco,mixteco del oeste,020,estimada,1103.8
1990,0516,Mixteco,mixteco del oeste alto,020,estimada,785.3
1990,0516,Mixteco,mixteco del suroeste central,020,estimada,762.3
1990,0516,Mixteco,mixteco de la frontera Puebla-Oaxaca,021,estimada,674.0
1990,0516,Mixteco,mixteco de Ixtayutla,020,estimada,511.2
1990,0516,Mixteco,mixteco bajo de Valles,020,estimada,454.3
1990,0516,Mixteco,mixteco de Oaxaca de la costa oeste central,020,estimada,451.2
1990,0516,Mixteco,mixteco del norte bajo,020,estimada,397.2
1990,0516,Mixteco,mixteco del oeste de la costa,020,estimada,391.1
1990,0516,Mixteco,mixteco de Santa María Peñoles,020,estimada,372.2
1990,0516,Mixteco,mixteco de Sierra sur noroeste,020,estimada,369.2
1990,0516,Mixteco,mixteco de Santiago Amoltepec,020,estimada,358.8
1990,0516,Mixteco,mixteco del suroeste,020,estimada,344.9
1990,0516,Mixteco,mixteco de Oaxaca de costa central baja,020,estimada,324.1
1990,0516,Mixteco,mixteco de Oaxaca de la costa noroeste,020,estimada,320.8
1990,0516,Mixteco,mixteco del suroeste de Puebla,021,estimada,317.6
1990,0516,Mixteco,mixteco del noroeste,020,estimada,296.8
1990,0516,Mixteco,mixteco del sur bajo,020,estimada,280.3
1990,0516,Mixteco,mixteco de Ñumi,020,estimada,261.4
1990,0516,Mixteco,mixteco del noreste,020,estimada,241.4
1990,0516,Mixteco,mixteco central,020,estimada,213.4
1990,0516,Mixteco,mixteco del noroeste medio,020,estimada,197.5
1990,0516,Mixteco,mixteco del sur medio,020,estimada,170.2
1990,0516,Mixteco,mixteco de Santa María Huazolotitlán,020,estimada,160.9
1990,0516,Mixteco,mixteco de Santa Lucía Monteverde,020,estimada,158.4
1990,0516,Mixteco,mixteco de Sierra sur oeste,020,estimada,154.4
1990,0516,Mixteco,mixteco de San Pablo Tijaltepec,020,estimada,125.9
1990,0516,Mixteco,mixteco del este,020,estimada,124.6
1990,0516,Mixteco,mixteco de Tlaltempan,021,estimada,120.9
1990,0516,Mixteco,mixteco de Zapotitlán,021,estimada,117.5
1990,0516,Mixteco,mixteco de Cañada bajo,020,estimada,110.6
1990,0516,Mixteco,mixteco del este central,020,estimada,106.6
1990,0516,Mixteco,mixteco de Yosondúa,020,estimada,91.2
1990,0516,Mixteco,mixteco de San Mateo Peñasco,020,estimada,88.1
1990,0516,Mixteco,mixteco de Coatzóspam,020,estimada,72.5
1990,0516,Mixteco,mixteco de San Antonio Sinicahua,020,estimada,72.5
1990,0516,Mixteco,mixteco de Santo Domingo Tonalá,020,estimada,71.4
1990,0516,Mixteco,mixteco de Santa María Yosoyúa,020,estimada,68.7
1990,0516,Mixteco,mixteco de San Juan Tamazola,020,estimada,67.4
1990,0516,Mixteco,mixteco de Cañada central,020,estimada,67.3
1990,0516,Mixteco,mixteco de Villa de Tututepec,020,estimada,66.0
1990,0516,Mixteco,mixteco de oeste central,020,estimada,64.1
1990,0516,Mixteco,mixteco de San Antonio Huitepec,020,estimada,52.1
1990,0516,Mixteco,mixteco de Santa Cruz Itundujia,020,estimada,52.1
1990,0516,Mixteco,mixteco de Yosonotú,020,estimada,50.6
1990,0516,Mixteco,mixteco del sureste central,020,estimada,49.8
1990,0516,Mixteco,mixteco de Yutanduchi de Guerrero,020,estimada,46.6
1990,0516,Mixteco,mixteco de Mitlatongo,020,estimada,44.3
1990,0516,Mixteco,mixteco de Guerrero del norte,012,estimada,41.2
1990,0516,Mixteco,mixteco de San Miguel Piedras,020,estimada,35.4
1990,0516,Mixteco,mixteco alto de Valles,020,estimada,31.5
1990,0516,Mixteco,mixteco de San Luis Acatlán,012,estimada,30.2
1990,0516,Mixteco,mixteco de San Agustín Tlacotepec,020,estimada,29.1
1990,0516,Mixteco,mixteco de Ayutla,012,estimada,26.8
1990,0516,Mixteco,mixteco de Santa Inés de Zaragoza,020,estimada,24.6
1990,0516,Mixteco,mixteco de Tlacoachistlahuaca,012,estimada,22.6
1990,0516,Mixteco,mixteco de San Pedro Molinos,020,estimada,21.9
1990,0516,Mixteco,mixteco de la frontera Puebla-Oaxaca,020,estimada,21.5
1990,0516,Mixteco,mixteco de Coapanatoyac,012,estimada,20.3
1990,0516,Mixteco,mixteco de San Pedro Tidaá,020,estimada,15.7
1990,0516,Mixteco,mixteco de Chochoapa,012,estimada,15.6
1990,0516,Mixteco,mixteco de Guerrero del este medio,012,estimada,15.6
1990,0516,Mixteco,mixteco de San Juan Teita,020,estimada,15.1
1990,0516,Mixteco,mixteco del noreste bajo,020,estimada,13.6
1990,0516,Mixteco,mixteco de Guerrero del noreste central,012,estimada,9.2
1990,0516,Mixteco,mixteco de Tlahuapa,012,estimada,9.2
1990,0516,Mixteco,mixteco de Xochapa,012,estimada,9.2
1990,0516,Mixteco,mixteco de Xonacatlán,012,estimada,9.2
1990,0516,Mixteco,mixteco de Guerrero central alto,012,estimada,8.6
1990,0516,Mixteco,mixteco de Guerrero de la costa este,012,estimada,6.5
1990,0516,Mixteco,mixteco de Atlamajalcingo,012,estimada,5.3
1990,0516,Mixteco,mixteco de Guerrero del norte central,012,estimada,5.0
1990,0516,Mixteco,mixteco central de Guerrero,012,estimada,3.6
1990,0516,Mixteco,mixteco de Xochistlahuaca,012,estimada,3.3
1990,0516,Mixteco,mixteco de Igualapa,012,estimada,3.1
1990,0516,Mixteco,mixteco de Tlalixtaquilla de Maldonado,012,estimada,2.8
1990,0516,Mixteco,mixteco de Guerrero de la costa occidental,012,estimada,2.6
1990,0516,Mixteco,mixteco de Guerrero de la costa central,012,estimada,0.4
1990,0516,Mixteco,,009,sin,630.0
1990,0516,Mixteco,,015,sin,100.0
1990,0516,Mixteco,,030,sin,80.0
1990,0516,Mixteco,,013,sin,20.0
1990,0516,Mixteco,,016,sin,20.0
1990,0516,Mixteco,,008,sin,10.0
1990,0516,Mixteco,,014,sin,10.0
1990,0516,Mixteco,,017,sin,10.0
1990,0516,Mixteco,,024,sin,10.0
1990,0516,Mixteco,,029,sin,10.0
1990,0516,Mixteco,,999,sin,10.0
1990,0517,Cuicateco,cuicateco del centro,020,estimada,245.4
1990,0517,Cuicateco,cuicateco del norte,020,estimada,27.3
1990,0517,Cuicateco,cuicateco del oriente,020,estimada,27.3
1990,0517,Cuicateco,,012,sin,10.0
1990,0518,Triqui,triqui de San Juan Copala,020,estimada,98.7
1990,0518,Triqui,triqui de la baja,020,estimada,25.3
1990,0518,Triqui,triqui de la alta,020,estimada,20.4
1990,0518,Triqui,triqui de la media,020,estimada,15.6
1990,0518,Triqui,,009,sin,10.0
1990,0601,Huasteco,huasteco del centro,030,estimada,361.5
1990,0601,Huasteco,huasteco de oriente,030,estimada,28.5
1990,0601,Huasteco,,020,sin,100.0
1990,0601,Huasteco,,013,sin,60.0
1990,0601,Huasteco,,012,sin,20.0
1990,0601,Huasteco,,021,sin,20.0
1990,0601,Huasteco,,009,sin,10.0
1990,0601,Huasteco,huasteco del occidente,024,unica,350.0
1990,0602,Maya,,009,sin,310.0
1990,0602,Maya,,007,sin,50.0
1990,0602,Maya,,030,sin,40.0
1990,0602,Maya,,021,sin,30.0
1990,0602,Maya,,027,sin,30.0
1990,0602,Maya,,224,sin,30.0
1990,0602,Maya,,005,sin,20.0
1990,0602,Maya,,016,sin,20.0
1990,0602,Maya,,017,sin,20.0
1990,0602,Maya,,019,sin,20.0
1990,0602,Maya,,029,sin,20.0
1990,0602,Maya,,208,sin,20.0
1990,0602,Maya,,012,sin,10.0
