anio,nivel,cve,nombre,poblacion,sexo,num,den,casos,ee,cota,fuente,universo
2000,alcaldia,008,La Magdalena Contreras,autoads,Hombres,460.0,95761.0,7769.0,5.9e-05,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,008,La Magdalena Contreras,autoads,Mujeres,777.0,104714.0,8650.0,0.000505,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,008,La Magdalena Contreras,autoads,Total,1237.0,200475.0,16419.0,0.000295,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,008,La Magdalena Contreras,hablantes5,Total,3697.0,197429.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Población de 5 años y más
2000,alcaldia,008,La Magdalena Contreras,monolingues,Total,12.0,3697.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Hablantes de lengua indígena
2000,alcaldia,008,La Magdalena Contreras,todas,Hombres,1670.0,95761.0,7769.0,0.000973,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,008,La Magdalena Contreras,todas,Mujeres,2630.0,104714.0,8650.0,0.002302,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,008,La Magdalena Contreras,todas,Total,4300.0,200475.0,16419.0,0.001347,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,009,Milpa Alta,ambas,Hombres,319.0,42409.0,6628.0,0.0009,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,009,Milpa Alta,ambas,Mujeres,246.0,44053.0,6724.0,0.000232,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,009,Milpa Alta,ambas,Total,565.0,86462.0,13352.0,0.001286,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,009,Milpa Alta,autoads,Hombres,724.0,42409.0,6628.0,0.000947,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,009,Milpa Alta,autoads,Mujeres,469.0,44053.0,6724.0,0.001336,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,009,Milpa Alta,autoads,Total,1193.0,86462.0,13352.0,0.001175,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,009,Milpa Alta,hablantes5,Total,3862.0,85333.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Población de 5 años y más
