anio,nivel,cve,nombre,lengua,lengua_nombre,familia,sexo,num,den,casos,ee,fuente
2015,alcaldia,007,Iztapalapa,0503,Matlatzinca,oto-mangue,Mujeres,77.0,911249.0,51766,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0503,Matlatzinca,oto-mangue,Mujeres,9.0,342489.0,26957,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0503,Matlatzinca,oto-mangue,Hombres,48.0,269097.0,16728,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,004,Cuajimalpa de Morelos,0505,Pame,oto-mangue,Mujeres,3.0,98827.0,9090,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,004,Cuajimalpa de Morelos,0505,Pame,oto-mangue,Hombres,3.0,91105.0,8684,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0506,Chichimeco jonaz,oto-mangue,Hombres,15.0,189662.0,16137,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,014,Benito Juárez,0507,Chinanteco,oto-mangue,Mujeres,7.0,219013.0,11405,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,006,Iztacalco,0507,Chinanteco,oto-mangue,Mujeres,51.0,199219.0,10107,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0507,Chinanteco,oto-mangue,Hombres,36.0,307584.0,24514,2.8500956703296423e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,004,Cuajimalpa de Morelos,0507,Chinanteco,oto-mangue,Mujeres,25.0,98827.0,9090,1.3822370962615404e-06,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0507,Chinanteco,oto-mangue,Hombres,530.0,836632.0,47722,0.00011172021122760975,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0507,Chinanteco,oto-mangue,Hombres,24.0,189662.0,16137,2.3553357265099242e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0507,Chinanteco,oto-mangue,Mujeres,48.0,207198.0,17066,2.783036668841902e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,002,Azcapotzalco,0507,Chinanteco,oto-mangue,Mujeres,60.0,205484.0,9967,7.86805994158103e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,006,Iztacalco,0507,Chinanteco,oto-mangue,Hombres,55.0,176998.0,9001,0.00021043059095460033,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0507,Chinanteco,oto-mangue,Mujeres,106.0,269988.0,16823,6.0128746579139796e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,008,La Magdalena Contreras,0507,Chinanteco,oto-mangue,Hombres,82.0,110870.0,8222,0.00010023049411630112,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,009,Milpa Alta,0507,Chinanteco,oto-mangue,Mujeres,33.0,67111.0,9267,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,011,Tláhuac,0507,Chinanteco,oto-mangue,Mujeres,81.0,181763.0,10390,8.657732224783498e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,017,Venustiano Carranza,0507,Chinanteco,oto-mangue,Mujeres,121.0,219680.0,11712,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,010,Álvaro Obregón,0507,Chinanteco,oto-mangue,Mujeres,197.0,378535.0,22016,7.759966007756169e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0507,Chinanteco,oto-mangue,Mujeres,280.0,310461.0,19170,0.0002678191936830923,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0507,Chinanteco,oto-mangue,Hombres,13.0,244811.0,15065,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,008,La Magdalena Contreras,0507,Chinanteco,oto-mangue,Mujeres,135.0,120623.0,8995,0.00029621443770107167,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,009,Milpa Alta,0507,Chinanteco,oto-mangue,Hombres,26.0,63632.0,8851,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,011,Tláhuac,0507,Chinanteco,oto-mangue,Hombres,117.0,164738.0,9567,9.54394293815096e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0507,Chinanteco,oto-mangue,Mujeres,49.0,191249.0,10731,6.966085577909832e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,005,Gustavo A. Madero,0507,Chinanteco,oto-mangue,Hombres,127.0,531706.0,29250,4.337429261497619e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0507,Chinanteco,oto-mangue,Mujeres,518.0,911249.0,51766,0.00010684334847402403,"Encuesta Intercensal 2015 (INEGI), microdatos"
