familia,agrupacion,variante,autodenominacion,entidades,municipios,n_localidades
oto-mangue,mazahua,mazahua de oriente,jnatrjo,ESTADO DE MÉXICO | MICHOACÁN DE OCAMPO,ESTADO DE MÉXICO: Almoloya de Juárez | ESTADO DE MÉXICO: Atlacomulco | ESTADO DE MÉXICO: Donato Guerra | ESTADO DE MÉXICO: El Oro | ESTADO DE MÉXICO: Ixtapan del Oro | ESTADO DE MÉXICO: Ixtlahuaca | ESTADO DE MÉXICO: Jiquipilco | ESTADO DE MÉXICO: Jocotitlán | ESTADO DE MÉXICO: Morelos | ESTADO DE MÉXICO: San Felipe del Progreso | ESTADO DE MÉXICO: Valle de Bravo | ESTADO DE MÉXICO: Villa de Allende | ESTADO DE MÉXICO: Villa Victoria | MICHOACÁN DE OCAMPO: Angangueo | MICHOACÁN DE OCAMPO: Ocampo | MICHOACÁN DE OCAMPO: Susupuato | MICHOACÁN DE OCAMPO: Zitácuaro,441
oto-mangue,mazahua,mazahua de occidente,jnatjo,ESTADO DE MÉXICO | MICHOACÁN DE OCAMPO,ESTADO DE MÉXICO: Atlacomulco | ESTADO DE MÉXICO: Temascalcingo | ESTADO DE MÉXICO: Villa de Allende | ESTADO DE MÉXICO: Villa de Victoria | MICHOACÁN DE OCAMPO: Zitácuaro,94
oto-mangue,mazateco,mazateco del noreste,en naxijen,OAXACA,OAXACA: Acatlán de Pérez Figueroa | OAXACA: San Miguel Soyaltepec,110
oto-mangue,mazateco,mazateco de la presa bajo,en ningotsie,OAXACA,OAXACA: San Pedro Ixcatlán,24
oto-mangue,mazateco,mazateco del este bajo,ntaxj,OAXACA,OAXACA: San Felipe Jalapa de Díaz | OAXACA: San Pedro Teutila,47
oto-mangue,mazateco,mazateco del sur,nne nangui ngaxni,OAXACA,OAXACA: Chiquihuitlán de Benito Juárez,9
oto-mangue,mazateco,mazateco del sureste,enre naxinanda nguifi,OAXACA,OAXACA: San Bartolomé Ayautla,16
oto-mangue,mazateco,mazateco de Eloxochitlán,en ngixo,OAXACA,OAXACA: Eloxochitlán de Flores Magón,25
oto-mangue,mazateco,mazateco del centro,enna (del centro),OAXACA,OAXACA: Huautepec | OAXACA: Huautla de Jiménez | OAXACA: Santa María la Asunción,125
oto-mangue,mazateco,mazateco del suroeste,ienra naxinandana nnandia,OAXACA,OAXACA: Mazatlán Villa de Flores | OAXACA: San Juan de los Cues | OAXACA: Santa María Tecomavaca,110
oto-mangue,mazateco,mazateco de Huehuetlán,an ndexu,OAXACA,OAXACA: San Francisco Huehuetlán,5
oto-mangue,mazateco,mazateco de Tecóatl,enna (de Tecóatl),OAXACA,OAXACA: San Jerónimo Tecóatl,7
oto-mangue,mazateco,mazateco de la presa alto,enna (de la presa alto),OAXACA,OAXACA: San José Independencia | OAXACA: San José Tenango,146
oto-mangue,mazateco,mazateco del oeste,enna (del oeste),OAXACA,OAXACA: San Lucas Zoquiapam | OAXACA: San Martín Toxpalan,38
oto-mangue,mazateco,mazateco del norte,en naxo tota | en nda xo,OAXACA | VERACRUZ DE IGNACIO DE LA LLAVE,OAXACA: San Mateo Yoloxochitlán | OAXACA: Santa María Chilchotla | VERACRUZ DE IGNACIO DE LA LLAVE: Tezonapa,136
oto-mangue,mazateco,mazateco de Ocopetatillo,en ndaja,OAXACA,OAXACA: San Pedro Ocopetatillo,2
oto-mangue,mazateco,mazateco de Acatepec,en naxi llanazo,OAXACA,OAXACA: Santa Cruz Acatepec,4
