cve_ageb,alcaldia,POBTOT,PHOG_IND,P3YM_HLI,P3HLINHE,P_3YMAS,P_15YMAS,PSINDER,VIVPARH_CV,VPH_INTER,VPH_PC,VPH_CEL,VPH_RADIO,VPH_STVP,VPH_SPMVPI,VPH_SINTIC,GRAPROES,im_conapo,gm_conapo,grs_coneval,tasa_phog_ind,tasa_p3ym_hli,tasa_p3hlinhe,tasa_psinder,tasa_vph_inter,tasa_vph_pc,tasa_vph_cel,tasa_vph_radio,tasa_vph_stvp,tasa_vph_spmvpi,tasa_vph_sintic,gm_orden,grs_orden
0901000011487,Álvaro Obregón,4629,194,72,0,4442,3582,1328,1294,715,487,1167,876,332,200,9,9.47,0.9377,Medio,Medio,4.19,1.62,0.0,28.69,55.26,37.64,90.19,67.7,25.66,15.46,0.7,3.0,3.0
0901000011735,Álvaro Obregón,9161,697,253,,8775,7212,2859,2267,1478,1003,2056,1771,670,425,11,9.61,0.9381,Medio,Bajo,7.61,2.88,,31.21,65.2,44.24,90.69,78.12,29.55,18.75,0.49,3.0,2.0
0901200010604,Tlalpan,4628,174,76,0,4493,3738,1502,1311,850,613,1207,1083,449,302,5,10.11,0.946,Medio,Bajo,3.76,1.69,0.0,32.45,64.84,46.76,92.07,82.61,34.25,23.04,0.38,3.0,2.0
0901200011072,Tlalpan,9407,295,117,3,9178,7826,2463,2759,2240,1847,2574,2236,1452,1193,15,12.21,0.9575,Bajo,Muy bajo,3.14,1.27,0.03,26.18,81.19,66.94,93.29,81.04,52.63,43.24,0.54,2.0,1.0
0901200011424,Tlalpan,4485,131,40,,4331,3665,1424,1290,928,703,1156,990,454,369,4,11.11,0.9503,Bajo,Bajo,2.92,0.92,,31.75,71.94,54.5,89.61,76.74,35.19,28.6,0.31,2.0,2.0
0901200010498,Tlalpan,2920,30,17,0,2881,2588,721,999,947,866,970,808,762,633,,14.49,0.9701,Muy bajo,Muy bajo,1.03,0.59,0.0,24.69,94.79,86.69,97.1,80.88,76.28,63.36,,1.0,1.0
0901200010125,Tlalpan,3367,64,41,0,3300,2824,931,936,690,543,850,736,559,323,,10.69,0.9507,Bajo,Bajo,1.9,1.24,0.0,27.65,73.72,58.01,90.81,78.63,59.72,34.51,,2.0,2.0
0901200010445,Tlalpan,2730,97,42,0,2677,2324,691,877,724,611,826,693,478,357,,12.93,0.9629,Bajo,Muy bajo,3.55,1.57,0.0,25.31,82.55,69.67,94.18,79.02,54.5,40.71,,2.0,1.0
0901200010074,Tlalpan,1813,18,47,0,1786,1639,272,629,614,589,619,537,522,456,0,15.06,0.9844,Muy bajo,Muy bajo,0.99,2.63,0.0,15.0,97.62,93.64,98.41,85.37,82.99,72.5,0.0,1.0,1.0
0901200010159,Tlalpan,3220,72,43,0,3139,2720,951,992,711,538,906,727,505,256,,11.24,0.9509,Bajo,Bajo,2.24,1.37,0.0,29.53,71.67,54.23,91.33,73.29,50.91,25.81,,2.0,2.0
