anio,lengua,lengua_nombre,tipo,ent,ent_nombre,mun,num,casos
1990,9000,No especificado,nacimiento,010,Durango,,30.0,3
1990,9000,No especificado,nacimiento,220,Otro país,,30.0,3
1990,9000,No especificado,nacimiento,025,Sinaloa,,20.0,2
1990,9000,No especificado,nacimiento,026,Sonora,,20.0,2
1990,9000,No especificado,nacimiento,234,Otro país,,20.0,2
1990,9000,No especificado,nacimiento,236,Otro país,,20.0,2
1990,9000,No especificado,nacimiento,018,Nayarit,,20.0,2
1990,9000,No especificado,nacimiento,128,Otro país,,10.0,1
1990,9000,No especificado,nacimiento,233,Otro país,,10.0,1
1990,9000,No especificado,nacimiento,345,Otro país,,10.0,1
1990,9000,No especificado,nacimiento,027,Tabasco,,10.0,1
1990,9000,No especificado,nacimiento,208,Otro país,,10.0,1
1990,9000,No especificado,nacimiento,204,Otro país,,10.0,1
1990,9000,No especificado,nacimiento,246,Otro país,,10.0,1
1990,9000,No especificado,nacimiento,002,Baja California,,10.0,1
1990,9000,No especificado,nacimiento,004,Campeche,,10.0,1
1990,9000,No especificado,nacimiento,224,Otro país,,10.0,1
1990,9010,Chontal insuficientemente especificado,nacimiento,020,Oaxaca,,50.0,5
1990,9010,Chontal insuficientemente especificado,nacimiento,027,Tabasco,,30.0,3
1990,9010,Chontal insuficientemente especificado,nacimiento,009,Ciudad de México,,10.0,1
1990,9010,Chontal insuficientemente especificado,nacimiento,016,Michoacán,,10.0,1
1990,9020,Tepehuano insuficientemente especificado,nacimiento,030,Veracruz,,10.0,1
1990,9020,Tepehuano insuficientemente especificado,nacimiento,028,Tamaulipas,,10.0,1
1990,0205,Tarahumara,residencia5,008,Chihuahua,,30.0,3
1990,0205,Tarahumara,residencia5,015,México,,10.0,1
1990,0205,Tarahumara,residencia5,011,Guanajuato,,10.0,1
1990,0209,Cora,residencia5,021,Puebla,,10.0,1
1990,0210,Huichol,residencia5,020,Oaxaca,,10.0,1
1990,0211,Náhuatl,residencia5,021,Puebla,,1800.0,180
1990,0211,Náhuatl,residencia5,030,Veracruz,,1300.0,130
1990,0211,Náhuatl,residencia5,013,Hidalgo,,1220.0,122
1990,0211,Náhuatl,residencia5,024,San Luis Potosí,,550.0,55
1990,0211,Náhuatl,residencia5,015,México,,440.0,44
1990,0211,Náhuatl,residencia5,012,Guerrero,,350.0,35
1990,0211,Náhuatl,residencia5,020,Oaxaca,,250.0,25
1990,0211,Náhuatl,residencia5,029,Tlaxcala,,60.0,6
1990,0211,Náhuatl,residencia5,017,Morelos,,50.0,5
1990,0211,Náhuatl,residencia5,027,Tabasco,,40.0,4
1990,0211,Náhuatl,residencia5,028,Tamaulipas,,30.0,3
1990,0211,Náhuatl,residencia5,001,Aguascalientes,,20.0,2
1990,0211,Náhuatl,residencia5,025,Sinaloa,,10.0,1
1990,0211,Náhuatl,residencia5,011,Guanajuato,,10.0,1
1990,0211,Náhuatl,residencia5,007,Chiapas,,10.0,1
1990,0501,Otomí,residencia5,013,Hidalgo,,1440.0,144
1990,0501,Otomí,residencia5,015,México,,1080.0,108
1990,0501,Otomí,residencia5,021,Puebla,,180.0,18
1990,0501,Otomí,residencia5,022,Querétaro,,140.0,14
1990,0501,Otomí,residencia5,030,Veracruz,,110.0,11
1990,0501,Otomí,residencia5,020,Oaxaca,,110.0,11
1990,0501,Otomí,residencia5,016,Michoacán,,40.0,4
1990,0501,Otomí,residencia5,029,Tlaxcala,,20.0,2
1990,0501,Otomí,residencia5,024,San Luis Potosí,,20.0,2
1990,0501,Otomí,residencia5,027,Tabasco,,20.0,2
1990,0501,Otomí,residencia5,011,Guanajuato,,10.0,1
1990,0501,Otomí,residencia5,017,Morelos,,10.0,1
1990,0501,Otomí,residencia5,008,Chihuahua,,10.0,1
1990,0502,Mazahua,residencia5,015,México,,1330.0,133
1990,0502,Mazahua,residencia5,016,Michoacán,,190.0,19
1990,0502,Mazahua,residencia5,020,Oaxaca,,30.0,3
1990,0502,Mazahua,residencia5,013,Hidalgo,,10.0,1
1990,0502,Mazahua,residencia5,017,Morelos,,10.0,1
1990,0503,Matlatzinca,residencia5,015,México,,10.0,1
1990,0506,Chichimeco jonaz,residencia5,007,Chiapas,,10.0,1
1990,0507,Chinanteco,residencia5,020,Oaxaca,,240.0,24
1990,0507,Chinanteco,residencia5,030,Veracruz,,40.0,4
1990,0508,Tlapaneco,residencia5,012,Guerrero,,560.0,56
1990,0508,Tlapaneco,residencia5,015,México,,20.0,2
1990,0509,Mazateco,residencia5,020,Oaxaca,,1220.0,122
1990,0509,Mazateco,residencia5,015,México,,110.0,11
1990,0509,Mazateco,residencia5,021,Puebla,,70.0,7
1990,0509,Mazateco,residencia5,030,Veracruz,,60.0,6
1990,0509,Mazateco,residencia5,014,Jalisco,,10.0,1
1990,0509,Mazateco,residencia5,007,Chiapas,,10.0,1
1990,0511,Chocholteco,residencia5,021,Puebla,,40.0,4
1990,0511,Chocholteco,residencia5,015,México,,10.0,1
1990,0513,Zapoteco,residencia5,020,Oaxaca,,2310.0,231
1990,0513,Zapoteco,residencia5,030,Veracruz,,160.0,16
1990,0513,Zapoteco,residencia5,015,México,,110.0,11
1990,0513,Zapoteco,residencia5,021,Puebla,,50.0,5
1990,0513,Zapoteco,residencia5,028,Tamaulipas,,20.0,2
1990,0513,Zapoteco,residencia5,027,Tabasco,,20.0,2
1990,0513,Zapoteco,residencia5,008,Chihuahua,,20.0,2
1990,0513,Zapoteco,residencia5,007,Chiapas,,10.0,1
1990,0513,Zapoteco,residencia5,026,Sonora,,10.0,1
1990,0514,Chatino,residencia5,020,Oaxaca,,40.0,4
1990,0515,Amuzgo,residencia5,012,Guerrero,,50.0,5
1990,0515,Amuzgo,residencia5,020,Oaxaca,,10.0,1
1990,0516,Mixteco,residencia5,020,Oaxaca,,2880.0,288
1990,0516,Mixteco,residencia5,021,Puebla,,140.0,14
1990,0516,Mixteco,residencia5,015,México,,110.0,11
1990,0516,Mixteco,residencia5,012,Guerrero,,70.0,7
1990,0516,Mixteco,residencia5,002,Baja California,,30.0,3
1990,0516,Mixteco,residencia5,030,Veracruz,,30.0,3
1990,0516,Mixteco,residencia5,013,Hidalgo,,20.0,2
1990,0516,Mixteco,residencia5,017,Morelos,,10.0,1
1990,0516,Mixteco,residencia5,014,Jalisco,,10.0,1
1990,0516,Mixteco,residencia5,016,Michoacán,,10.0,1
1990,0516,Mixteco,residencia5,028,Tamaulipas,,10.0,1
1990,0516,Mixteco,residencia5,024,San Luis Potosí,,10.0,1
1990,0517,Cuicateco,residencia5,020,Oaxaca,,60.0,6
1990,0518,Triqui,residencia5,020,Oaxaca,,60.0,6
1990,0601,Huasteco,residencia5,030,Veracruz,,170.0,17
1990,0601,Huasteco,residencia5,024,San Luis Potosí,,110.0,11
1990,0601,Huasteco,residencia5,013,Hidalgo,,20.0,2
1990,0601,Huasteco,residencia5,015,México,,10.0,1
1990,0601,Huasteco,residencia5,028,Tamaulipas,,10.0,1
1990,0602,Maya,residencia5,031,Yucatán,,120.0,12
1990,0602,Maya,residencia5,030,Veracruz,,30.0,3
1990,0602,Maya,residencia5,021,Puebla,,20.0,2
1990,0602,Maya,residencia5,023,Quintana Roo,,20.0,2
1990,0602,Maya,residencia5,020,Oaxaca,,20.0,2
1990,0602,Maya,residencia5,007,Chiapas,,10.0,1
1990,0602,Maya,residencia5,012,Guerrero,,10.0,1
1990,0602,Maya,residencia5,028,Tamaulipas,,10.0,1
1990,0602,Maya,residencia5,015,México,,10.0,1
1990,0604,Ch'ol,residencia5,027,Tabasco,,20.0,2
1990,0606,Tseltal,residencia5,007,Chiapas,,100.0,10
1990,0607,Tsotsil,residencia5,007,Chiapas,,50.0,5
1990,0611,Qato'k,residencia5,012,Guerrero,,10.0,1
1990,0618,Mam,residencia5,004,Campeche,,10.0,1
1990,0701,Totonaco,residencia5,021,Puebla,,380.0,38
1990,0701,Totonaco,residencia5,030,Veracruz,,350.0,35
1990,0701,Totonaco,residencia5,029,Tlaxcala,,20.0,2
1990,0701,Totonaco,residencia5,013,Hidalgo,,10.0,1
1990,0701,Totonaco,residencia5,022,Querétaro,,10.0,1
1990,0702,Tepehua,residencia5,030,Veracruz,,20.0,2
1990,0702,Tepehua,residencia5,013,Hidalgo,,10.0,1
1990,0702,Tepehua,residencia5,021,Puebla,,10.0,1
1990,0801,Tarasco (purépecha),residencia5,016,Michoacán,,190.0,19
1990,0801,Tarasco (purépecha),residencia5,015,México,,10.0,1
1990,0901,Mixe,residencia5,020,Oaxaca,,440.0,44
1990,0901,Mixe,residencia5,030,Veracruz,,20.0,2
1990,0901,Mixe,residencia5,015,México,,10.0,1
1990,0901,Mixe,residencia5,021,Puebla,,10.0,1
1990,0901,Mixe,residencia5,019,Nuevo León,,10.0,1
1990,0907,Zoque,residencia5,030,Veracruz,,10.0,1
1990,9000,No especificado,residencia5,020,Oaxaca,,600.0,60
1990,9000,No especificado,residencia5,015,México,,410.0,41
1990,9000,No especificado,residencia5,021,Puebla,,290.0,29
1990,9000,No especificado,residencia5,030,Veracruz,,210.0,21
1990,9000,No especificado,residencia5,013,Hidalgo,,110.0,11
1990,9000,No especificado,residencia5,016,Michoacán,,80.0,8
1990,9000,No especificado,residencia5,012,Guerrero,,80.0,8
1990,9000,No especificado,residencia5,011,Guanajuato,,60.0,6
1990,9000,No especificado,residencia5,007,Chiapas,,50.0,5
1990,9000,No especificado,residencia5,024,San Luis Potosí,,30.0,3
1990,9000,No especificado,residencia5,029,Tlaxcala,,20.0,2
1990,9000,No especificado,residencia5,031,Yucatán,,20.0,2
1990,9000,No especificado,residencia5,022,Querétaro,,20.0,2
1990,9000,No especificado,residencia5,014,Jalisco,,20.0,2
1990,9000,No especificado,residencia5,028,Tamaulipas,,10.0,1
1990,9000,No especificado,residencia5,025,Sinaloa,,10.0,1
1990,9000,No especificado,residencia5,017,Morelos,,10.0,1
1990,9000,No especificado,residencia5,026,Sonora,,10.0,1
1990,9010,Chontal insuficientemente especificado,residencia5,020,Oaxaca,,20.0,2
1990,9010,Chontal insuficientemente especificado,residencia5,027,Tabasco,,10.0,1
2000,0205,Tarahumara,nacimiento,008,Chihuahua,,129.0,9
2000,0205,Tarahumara,nacimiento,009,Ciudad de México,,58.0,5
2000,0205,Tarahumara,nacimiento,030,Veracruz,,18.0,1
2000,0207,Yaqui,nacimiento,026,Sonora,,27.0,4
2000,0207,Yaqui,nacimiento,009,Ciudad de México,,20.0,2
2000,0207,Yaqui,nacimiento,015,México,,8.0,1
2000,0208,Mayo,nacimiento,026,Sonora,,23.0,3
2000,0208,Mayo,nacimiento,012,Guerrero,,8.0,1
2000,0209,Cora,nacimiento,020,Oaxaca,,14.0,1
2000,0209,Cora,nacimiento,018,Nayarit,,10.0,1
2000,0210,Huichol,nacimiento,018,Nayarit,,20.0,2
2000,0210,Huichol,nacimiento,010,Durango,,19.0,1
2000,0210,Huichol,nacimiento,014,Jalisco,,9.0,1
2000,0210,Huichol,nacimiento,415,Otro país,,8.0,1
2000,0210,Huichol,nacimiento,009,Ciudad de México,,3.0,1
2000,0211,Náhuatl,nacimiento,021,Puebla,,13671.0,1287
